Technology,VECTO_Group,Year,Scenario,Component,Value
Diesel,0,2022,Average,CAPEX,49900.00
Diesel,1,2022,Average,CAPEX,49900.00
Diesel,2,2022,Average,CAPEX,72572.00
Diesel,3,2022,Average,CAPEX,78155.00
Diesel,4-UD,2022,Average,CAPEX,78155.00
Diesel,4-RD,2022,Average,CAPEX,83738.00
Diesel,4-LH,2022,Average,CAPEX,110423.00
Diesel,5-RD,2022,Average,CAPEX,89320.00
Diesel,5-LH,2022,Average,CAPEX,115000.00
Diesel,9-RD,2022,Average,CAPEX,90438.00
Diesel,9-LH,2022,Average,CAPEX,117233.00
Diesel,10-RD,2022,Average,CAPEX,96018.00
Diesel,10-LH,2022,Average,CAPEX,121700.00
Diesel,11,2022,Average,CAPEX,150728.00
Diesel,12,2022,Average,CAPEX,156312.00
Diesel,16,2022,Average,CAPEX,173057.00
NG,0,2022,Average,CAPEX,54890.00
NG,1,2022,Average,CAPEX,54890.00
NG,2,2022,Average,CAPEX,79829.20
NG,3,2022,Average,CAPEX,85970.50
NG,4-UD,2022,Average,CAPEX,85970.50
NG,4-RD,2022,Average,CAPEX,92111.80
NG,4-LH,2022,Average,CAPEX,121465.30
NG,5-RD,2022,Average,CAPEX,98252.00
NG,5-LH,2022,Average,CAPEX,126500.00
NG,9-RD,2022,Average,CAPEX,99481.80
NG,9-LH,2022,Average,CAPEX,128956.30
NG,10-RD,2022,Average,CAPEX,105619.80
NG,10-LH,2022,Average,CAPEX,133870.00
NG,11,2022,Average,CAPEX,165800.80
NG,12,2022,Average,CAPEX,171943.20
NG,16,2022,Average,CAPEX,190362.70
BG,0,2022,Average,CAPEX,54890.00
BG,1,2022,Average,CAPEX,54890.00
BG,2,2022,Average,CAPEX,79829.20
BG,3,2022,Average,CAPEX,85970.50
BG,4-UD,2022,Average,CAPEX,85970.50
BG,4-RD,2022,Average,CAPEX,92111.80
BG,4-LH,2022,Average,CAPEX,121465.30
BG,5-RD,2022,Average,CAPEX,98252.00
BG,5-LH,2022,Average,CAPEX,126500.00
BG,9-RD,2022,Average,CAPEX,99481.80
BG,9-LH,2022,Average,CAPEX,128956.30
BG,10-RD,2022,Average,CAPEX,105619.80
BG,10-LH,2022,Average,CAPEX,133870.00
BG,11,2022,Average,CAPEX,165800.80
BG,12,2022,Average,CAPEX,171943.20
BG,16,2022,Average,CAPEX,190362.70
Diesel,0,2040,Average,CAPEX,49900.00
Diesel,1,2040,Average,CAPEX,49900.00
Diesel,2,2040,Average,CAPEX,72572.00
Diesel,3,2040,Average,CAPEX,78155.00
Diesel,4-UD,2040,Average,CAPEX,78155.00
Diesel,4-RD,2040,Average,CAPEX,83738.00
Diesel,4-LH,2040,Average,CAPEX,110423.00
Diesel,5-RD,2040,Average,CAPEX,89320.00
Diesel,5-LH,2040,Average,CAPEX,115000.00
Diesel,9-RD,2040,Average,CAPEX,90438.00
Diesel,9-LH,2040,Average,CAPEX,117233.00
Diesel,10-RD,2040,Average,CAPEX,96018.00
Diesel,10-LH,2040,Average,CAPEX,121700.00
Diesel,11,2040,Average,CAPEX,150728.00
Diesel,12,2040,Average,CAPEX,156312.00
Diesel,16,2040,Average,CAPEX,173057.00
NG,0,2040,Average,CAPEX,54890.00
NG,1,2040,Average,CAPEX,54890.00
NG,2,2040,Average,CAPEX,79829.20
NG,3,2040,Average,CAPEX,85970.50
NG,4-UD,2040,Average,CAPEX,85970.50
NG,4-RD,2040,Average,CAPEX,92111.80
NG,4-LH,2040,Average,CAPEX,121465.30
NG,5-RD,2040,Average,CAPEX,98252.00
NG,5-LH,2040,Average,CAPEX,126500.00
NG,9-RD,2040,Average,CAPEX,99481.80
NG,9-LH,2040,Average,CAPEX,128956.30
NG,10-RD,2040,Average,CAPEX,105619.80
NG,10-LH,2040,Average,CAPEX,133870.00
NG,11,2040,Average,CAPEX,165800.80
NG,12,2040,Average,CAPEX,171943.20
NG,16,2040,Average,CAPEX,190362.70
BG,0,2040,Average,CAPEX,54890.00
BG,1,2040,Average,CAPEX,54890.00
BG,2,2040,Average,CAPEX,79829.20
BG,3,2040,Average,CAPEX,85970.50
BG,4-UD,2040,Average,CAPEX,85970.50
BG,4-RD,2040,Average,CAPEX,92111.80
BG,4-LH,2040,Average,CAPEX,121465.30
BG,5-RD,2040,Average,CAPEX,98252.00
BG,5-LH,2040,Average,CAPEX,126500.00
BG,9-RD,2040,Average,CAPEX,99481.80
BG,9-LH,2040,Average,CAPEX,128956.30
BG,10-RD,2040,Average,CAPEX,105619.80
BG,10-LH,2040,Average,CAPEX,133870.00
BG,11,2040,Average,CAPEX,165800.80
BG,12,2040,Average,CAPEX,171943.20
BG,16,2040,Average,CAPEX,190362.70
HVO,0,2022,Average,CAPEX,49900.00
HVO,1,2022,Average,CAPEX,49900.00
HVO,2,2022,Average,CAPEX,72572.00
HVO,3,2022,Average,CAPEX,78155.00
HVO,4-UD,2022,Average,CAPEX,78155.00
HVO,4-RD,2022,Average,CAPEX,83738.00
HVO,4-LH,2022,Average,CAPEX,110423.00
HVO,5-RD,2022,Average,CAPEX,89320.00
HVO,5-LH,2022,Average,CAPEX,115000.00
HVO,9-RD,2022,Average,CAPEX,90438.00
HVO,9-LH,2022,Average,CAPEX,117233.00
HVO,10-RD,2022,Average,CAPEX,96018.00
HVO,10-LH,2022,Average,CAPEX,121700.00
HVO,11,2022,Average,CAPEX,150728.00
HVO,12,2022,Average,CAPEX,156312.00
HVO,16,2022,Average,CAPEX,173057.00
HVO,0,2040,Average,CAPEX,49900.00
HVO,1,2040,Average,CAPEX,49900.00
HVO,2,2040,Average,CAPEX,72572.00
HVO,3,2040,Average,CAPEX,78155.00
HVO,4-UD,2040,Average,CAPEX,78155.00
HVO,4-RD,2040,Average,CAPEX,83738.00
HVO,4-LH,2040,Average,CAPEX,110423.00
HVO,5-RD,2040,Average,CAPEX,89320.00
HVO,5-LH,2040,Average,CAPEX,115000.00
HVO,9-RD,2040,Average,CAPEX,90438.00
HVO,9-LH,2040,Average,CAPEX,117233.00
HVO,10-RD,2040,Average,CAPEX,96018.00
HVO,10-LH,2040,Average,CAPEX,121700.00
HVO,11,2040,Average,CAPEX,150728.00
HVO,12,2040,Average,CAPEX,156312.00
HVO,16,2040,Average,CAPEX,173057.00
